"Species","IUCNstatus"
"Abarema langsdorffii","Not Threatened"
"Acacia exudans","Not Evaluated"
"Acacia rostriformis","Not Evaluated"
"Acalypha repanda","Not Threatened"
"Acanthosyris spinescens","Not Evaluated"
"Acca sellowiana","Not Evaluated"
"Achatocarpus praecox","Not Threatened"
"Acridocarpus spectabilis","Not Threatened"
"Acrocomia hassleri","Not Evaluated"
"Acrocomia totai","Not Threatened"
"Actinostemon concepcionis","DD"
"Adansonia suarezensis","Threatened"
"Aegiphila brachiata","Not Threatened"
"Aegiphila mediterranea","Not Threatened"
"Aegiphila obducta","Not Threatened"
"Aegiphila steinbachii","Vulnerable"
"Aeschynomene burttii","Threatened"
"Aeschynomene megalophylla","Not Evaluated"
"Aeschynomene schliebenii","Not Evaluated"
"Afraegle paniculata","Not Evaluated"
"Afrocanthium burttii","Not Evaluated"
"Afrocanthium keniense","Vulnerable"
"Afrocanthium kilifiense","Not Threatened"
"Afrocanthium peteri","Vulnerable"
"Afrocanthium pseudorandii","Not Threatened"
"Afrocanthium pseudoverticillatum","Not Threatened"
"Afrocanthium rondoense","Threatened"
"Afrocanthium siebenlistii","Vulnerable"
"Afrocarpus dawei","Not Threatened"
"Afrocarpus gracilior","Not Threatened"
"Afrocarpus usambarensis","Threatened"
"Agarista eucalyptoides","Not Evaluated"
"Agarista niederleinii","Not Threatened"
"Agarista oleifolia","Not Threatened"
"Agarista pulchra","Not Evaluated"
"Agarista uleana","Not Evaluated"
"Aidia chantonea","Not Evaluated"
"Aiouea acarodomatifera","Not Threatened"
"Aiouea bracteata","Threatened"
"Alangium chinense","Not Evaluated"
"Albizia amara","Not Threatened"
"Albizia burkartiana","Threatened"
"Albizia chevalieri","Not Threatened"
"Albizia edwallii","Not Threatened"
"Albizia grandibracteata","Not Threatened"
"Albizia isenbergiana","Not Evaluated"
"Albizia myriophylla","Not Evaluated"
"Albizia petersiana","Not Threatened"
"Albizia schimperiana","Not Threatened"
"Albizia thompsonii","Not Threatened"
"Albizia zimmermannii","Not Evaluated"
"Alchornea sidifolia","Not Evaluated"
"Algernonia gibbosa","Not Evaluated"
"Algernonia riedelii","Not Threatened"
"Allanblackia stuhlmannii","Not Threatened"
"Allanblackia ulugurensis","Vulnerable"
"Allophylus brachypetalus","Not Evaluated"
"Allophylus chirindensis","Vulnerable"
"Allophylus dummeri","Not Evaluated"
"Allophylus grotei","Not Evaluated"
"Allophylus guaraniticus","Not Evaluated"
"Allophylus laxiflorus","Not Evaluated"
"Allophylus melliodorus","Not Evaluated"
"Allophylus pauciflorus","Not Threatened"
"Allophylus pseudopaniculatus","Not Evaluated"
"Allophylus tanzaniensis","Not Evaluated"
"Allophylus vestitus","Not Evaluated"
"Aloe ballyi","Threatened"
"Aloe excelsa","Not Evaluated"
"Aloe vaotsanda","Vulnerable"
"Aloe volkensii","Not Threatened"
"Alsodeiopsis schumannii","Not Threatened"
"Alstonia venenata","Not Evaluated"
"Angylocalyx braunii","Vulnerable"
"Aniba heringeri","Not Evaluated"
"Aniba viridis","Not Threatened"
"Anisophyllea obtusifolia","Not Evaluated"
"Anisophyllea pomifera","Not Threatened"
"Annona aurantiaca","Not Threatened"
"Annona cacans","Not Threatened"
"Annona dioica","Not Threatened"
"Annona gardneri","Threatened"
"Annona maritima","Not Threatened"
"Annona neosalicifolia","Not Threatened"
"Annona neosericea","Not Threatened"
"Annona nutans","Not Threatened"
"Annona rugulosa","Not Threatened"
"Anthocleista djalonensis","Not Threatened"
"Anthonotha crassifolia","Not Threatened"
"Antidesma elbertii","Not Threatened"
"Antidesma tetrandrum","Not Evaluated"
"Aporosa tetrapleura","Not Evaluated"
"Aralia hiepiana","Not Evaluated"
"Araucaria angustifolia","Threatened"
"Ardisia murtonii","Not Evaluated"
"Areca laosensis","Not Evaluated"
"Aristogeitonia lophirifolia","Threatened"
"Aspidosperma australe","Not Threatened"
"Aspidosperma ramiflorum","Not Threatened"
"Aspidosperma riedelii","Not Evaluated"
"Asteranthe asterias","Not Threatened"
"Astrocaryum aculeatissimum","Not Threatened"
"Astrocaryum echinatum","Not Evaluated"
"Astronium nelson-rosae","Not Threatened"
"Atalantia dasycarpa","Not Threatened"
"Ateleia glazioveana","Not Evaluated"
"Ateleia guaraya","Not Threatened"
"Attalea dubia","Not Evaluated"
"Attalea geraensis","Not Evaluated"
"Averrhoidium paraguaiense","Not Evaluated"
"Azara uruguayensis","Not Evaluated"
"Baccharis montana","Not Evaluated"
"Baccharis punctulata","Not Threatened"
"Baccharis semiserrata","Not Evaluated"
"Bactris polystachya","Vulnerable"
"Balanites angolensis","Not Threatened"
"Balfourodendron riedelianum","Threatened"
"Balsamocitrus dawei","Threatened"
"Balthasaria schliebenii","Not Threatened"
"Banara boliviana","Not Evaluated"
"Banara parviflora","Not Threatened"
"Banara umbraticola","Not Evaluated"
"Banisteriopsis latifolia","Not Threatened"
"Banksia brownii","Threatened"
"Baphia cordifolia","Vulnerable"
"Baphia semseiana","Threatened"
"Baphia wollastonii","Not Threatened"
"Bastardiopsis densiflora","Not Evaluated"
"Bathysa australis","Not Evaluated"
"Bathysa nicholsonii","Not Threatened"
"Bathysa stipulata","Not Threatened"
"Bauhinia bauhinioides","Not Threatened"
"Bauhinia curvula","Not Threatened"
"Bauhinia gardneri","Not Evaluated"
"Bauhinia glaziovii","Threatened"
"Bauhinia hagenbeckii","Not Evaluated"
"Bauhinia petersiana","Not Threatened"
"Bauhinia uruguayensis","Not Evaluated"
"Beilschmiedia emarginata","Not Threatened"
"Beilschmiedia kweo","Not Threatened"
"Beilschmiedia laevis","Not Threatened"
"Beilschmiedia michelsonii","Threatened"
"Beilschmiedia ugandensis","Not Threatened"
"Benkara armigera","Not Evaluated"
"Berberis laurina","Not Evaluated"
"Bernardia pulchella","Not Evaluated"
"Bertiera pauloi","Vulnerable"
"Bicuiba oleifera","Threatened"
"Blachia calycina","Not Evaluated"
"Blachia siamensis","Not Evaluated"
"Bombax anceps","Not Evaluated"
"Bombax costatum","Not Threatened"
"Borassus akeassii","Not Threatened"
"Boswellia dalzielii","Not Evaluated"
"Brachystegia allenii","Not Threatened"
"Brachystegia bussei","Not Threatened"
"Brachystegia manga","Not Threatened"
"Brachystegia tamarindoides","Not Threatened"
"Brachystegia taxifolia","Not Evaluated"
"Brackenridgea zanguebarica","Not Evaluated"
"Brexia australis","Threatened"
"Bridelia brideliifolia","Not Threatened"
"Bridelia duvigneaudii","Not Evaluated"
"Brosimum glaziovii","Threatened"
"Brunfelsia australis","Not Threatened"
"Brunfelsia pauciflora","Not Threatened"
"Buchanania reticulata","Not Evaluated"
"Buchanania siamensis","Not Evaluated"
"Bullockia impressinervia","Threatened"
"Bullockia mombazensis","Not Evaluated"
"Bunchosia pallescens","Not Threatened"
"Burttia prunoides","Not Threatened"
"Bussea massaiensis","Not Threatened"
"Butia capitata","Not Evaluated"
"Butia eriospatha","Vulnerable"
"Butia odorata","Not Evaluated"
"Butia paraguayensis","Not Threatened"
"Butia purpurascens","Vulnerable"
"Butia yatay","Not Evaluated"
"Buxus calcarea","Threatened"
"Buxus obtusifolia","Vulnerable"
"Byrsonima affinis","Not Threatened"
"Byrsonima basiloba","Not Threatened"
"Byrsonima decipiens","Not Evaluated"
"Byrsonima grisebachiana","Not Evaluated"
"Byrsonima guilleminiana","Not Threatened"
"Byrsonima ligustrifolia","Not Threatened"
"Byrsonima myricifolia","Not Threatened"
"Byrsonima salzmanniana","Not Threatened"
"Cadaba kirkii","Not Threatened"
"Cadia pedicellata","Vulnerable"
"Caesalpinia barahonensis","Not Evaluated"
"Calamus siamensis","Not Threatened"
"Calliandra foliolosa","Not Evaluated"
"Calliandra tweediei","Not Threatened"
"Callianthe lanata","Not Evaluated"
"Callianthe picta","Not Evaluated"
"Callisthene inundata","Not Evaluated"
"Callisthene mollissima","Not Threatened"
"Calycolpus sessiliflorus","Not Evaluated"
"Campomanesia guazumifolia","Not Threatened"
"Campomanesia neriiflora","Vulnerable"
"Campomanesia phaea","Vulnerable"
"Campomanesia prosthecesepala","DD"
"Campomanesia reitziana","Not Threatened"
"Campomanesia rufa","DD"
"Campomanesia sessiliflora","Not Evaluated"
"Campomanesia xanthocarpa","Not Evaluated"
"Camptolepis ramiflora","Vulnerable"
"Cananga latifolia","Not Evaluated"
"Canarium sikkimense","Not Evaluated"
"Canarium strictum","Not Evaluated"
"Canthium coffeoides","Not Evaluated"
"Canthium coromandelicum","Not Evaluated"
"Canthium glaucum","Not Threatened"
"Canthium oligocarpum","Not Threatened"
"Cantinoa duplicatodentata","Not Threatened"
"Capparis olacifolia","Not Evaluated"
"Capparis tenera","Not Evaluated"
"Carapa grandiflora","Not Threatened"
"Carpolobia goetzei","Not Threatened"
"Caryodendron janeirense","Not Threatened"
"Casearia battiscombei","Not Evaluated"
"Casearia michelsonii","Threatened"
"Casearia paranaensis","Not Threatened"
"Casearia runssorica","Not Evaluated"
"Casearia rupestris","Not Threatened"
"Casearia thwaitesii","Not Evaluated"
"Cassia abbreviata","Not Threatened"
"Cassia leptophylla","Not Threatened"
"Cassipourea celastroides","Not Threatened"
"Cassipourea leptoneura","Threatened"
"Cassipourea ndando","Vulnerable"
"Castanopsis cambodiana","Not Evaluated"
"Castanopsis namdinhensis","Not Evaluated"
"Castanopsis pierrei","Not Evaluated"
"Castanopsis piriformis","Not Evaluated"
"Castela tweediei","Not Evaluated"
"Catunaregam taylorii","Not Threatened"
"Ceiba jasminodora","Not Evaluated"
"Ceiba pubiflora","Not Threatened"
