"Species","IUCNstatus"
"Abarema_langsdorffii","Not Threatened"
"Acacia_debilis","Not Threatened"
"Acacia_exudans","Not Evaluated"
"Acacia_leiophylla","Not Threatened"
"Acacia_nanodealbata","Threatened"
"Acacia_polybotrya","Not Threatened"
"Acacia_rostriformis","Not Evaluated"
"Acacia_tingoorensis","Not Evaluated"
"Acanthosyris_spinescens","Not Evaluated"
"Acca_sellowiana","Not Evaluated"
"Achatocarpus_praecox","Not Threatened"
"Acridocarpus_spectabilis","Not Threatened"
"Acrocomia_hassleri","Not Evaluated"
"Acrocomia_totai","Not Threatened"
"Actinostemon_concepcionis","DD"
"Adansonia_grandidieri","Threatened"
"Adansonia_perrieri","Threatened"
"Adelia_membranifolia","Not Threatened"
"Aegiphila_brachiata","Not Threatened"
"Aegiphila_mediterranea","Not Threatened"
"Aegiphila_obducta","Not Threatened"
"Aegiphila_steinbachii","Vulnerable"
"Aeschynomene_burttii","Threatened"
"Aeschynomene_schliebenii","Not Evaluated"
"Afraegle_paniculata","Not Evaluated"
"Afrocanthium_burttii","Not Evaluated"
"Afrocanthium_keniense","Vulnerable"
"Afrocanthium_kilifiense","Not Threatened"
"Afrocanthium_lactescens","Not Threatened"
"Afrocanthium_parasiebenlistii","Not Evaluated"
"Afrocanthium_peteri","Vulnerable"
"Afrocanthium_pseudorandii","Not Threatened"
"Afrocanthium_racemulosum","Not Evaluated"
"Afrocanthium_siebenlistii","Vulnerable"
"Afrocarpus_dawei","Not Threatened"
"Afrocarpus_gracilior","Not Threatened"
"Afrocarpus_usambarensis","Threatened"
"Agarista_eucalyptoides","Not Evaluated"
"Aiouea_bracteata","Threatened"
"Aiouea_saligna","Not Threatened"
"Aiouea_trinervis","Not Threatened"
"Alangium_chinense","Not Evaluated"
"Albizia_amara","Not Threatened"
"Albizia_burkartiana","Threatened"
"Albizia_chevalieri","Not Threatened"
"Albizia_edwallii","Not Threatened"
"Albizia_grandibracteata","Not Threatened"
"Albizia_petersiana","Not Threatened"
"Albizia_schimperiana","Not Threatened"
"Albizia_zimmermannii","Not Evaluated"
"Alchornea_sidifolia","Not Evaluated"
"Algernonia_riedelii","Not Threatened"
"Allanblackia_kimbiliensis","Threatened"
"Allanblackia_stuhlmannii","Not Threatened"
"Allanblackia_ulugurensis","Vulnerable"
"Allophylus_dummeri","Not Evaluated"
"Allophylus_guaraniticus","Not Evaluated"
"Allophylus_melliodorus","Not Evaluated"
"Allophylus_pseudopaniculatus","Not Evaluated"
"Allophylus_tanzaniensis","Not Evaluated"
"Allophylus_vestitus","Not Evaluated"
"Aloe_excelsa","Not Evaluated"
"Aloe_mawii","Not Threatened"
"Aloe_volkensii","Not Threatened"
"Alseodaphne_semecarpifolia","Not Threatened"
"Alsodeiopsis_schumannii","Not Threatened"
"Amaioua_intermedia","Not Threatened"
"Amyrea_grandifolia","Threatened"
"Anacardium_humile","Not Evaluated"
