"Species","IUCNstatus"
"Abarema ferruginea","Not Evaluated"
"Abarema ganymedea","Vulnerable"
"Abarema killipii","Vulnerable"
"Abarema racemiflora","Not Threatened"
"Abatia spicata","Not Evaluated"
"Abies kawakamii","Not Threatened"
"Abrahamia latifolia","Vulnerable"
"Acacia hylonoma","Not Evaluated"
"Acacia mountfordiae","Not Threatened"
"Acacia scopulorum","Not Threatened"
"Acer rubescens","Not Threatened"
"Aceratium doggrellii","Not Evaluated"
"Aceratium tomentosum","Not Threatened"
"Acronychia emarginata","Not Threatened"
"Acronychia foveata","Vulnerable"
"Adelobotrys antioquiensis","Vulnerable"
"Adinandra lasiostyla","Not Evaluated"
"Adinandra subsessilis","Not Evaluated"
"Aegiphila cephalophora","Not Threatened"
"Aegiphila schimpffii","Threatened"
"Aegiphila trifida","Not Evaluated"
"Aglaia australiensis","Vulnerable"
"Agonandra goldbergiana","Threatened"
"Agouticarpa grandistipula","Not Evaluated"
"Aiouea costaricensis","Not Threatened"
"Aiouea guatemalensis","Vulnerable"
"Aiouea obscura","Vulnerable"
"Aiouea parvissima","Threatened"
"Aiphanes deltoidea","Not Evaluated"
"Aiphanes erinacea","Not Evaluated"
"Aiphanes hirsuta","Not Threatened"
"Aiphanes macroloba","Not Evaluated"
"Aiphanes tricuspidata","Not Evaluated"
"Aldina insignis","Not Evaluated"
"Alfaroa costaricensis","Not Threatened"
"Alfaroa manningii","Not Threatened"
"Alibertia atlantica","Not Threatened"
"Alibertia utleyorum","Not Evaluated"
"Allamanda weberbaueri","Not Evaluated"
"Allomaieta hirsuta","Vulnerable"
"Allomaieta pancurana","Not Threatened"
"Alseis costaricensis","Not Threatened"
"Amaioua magnicarpa","Not Evaluated"
"Amaioua pedicellata","Not Threatened"
"Amaracarpus brassii","Not Evaluated"
"Amentotaxus formosana","Vulnerable"
"Amphitecna donnell-smithii","Threatened"
"Amphitecna gentryi","Vulnerable"
"Amphitecna isthmica","Not Threatened"
"Amphitecna sessilifolia","Vulnerable"
"Amyrea lancifolia","Threatened"
"Amyrea remotiflora","Threatened"
"Amyris brenesii","Not Threatened"
"Amyris magnifolia","Threatened"
"Anacardium fruticosum","Not Evaluated"
"Anaxagorea allenii","Not Threatened"
"Anaxagorea floribunda","Vulnerable"
"Anaxagorea phaeocarpa","Not Threatened"
"Andira grandistipula","Not Evaluated"
"Angostura granulosa","Not Threatened"
"Aniba excelsa","Vulnerable"
"Aniba heterotepala","Threatened"
"Annona iquitensis","DD"
"Annona pachyantha","Vulnerable"
"Annona pittieri","Not Threatened"
"Anthodiscus trifoliatus","Not Evaluated"
"Anthopterus wardii","Not Threatened"
"Antidesma chalaranthum","Not Threatened"
"Apodytes geldenhuysii","Not Evaluated"
"Aporosa chondroneura","Not Evaluated"
"Aporosa ledermanniana","Not Threatened"
"Aporosa misimana","Threatened"
"Appunia debilis","Not Evaluated"
"Aptandra caudata","Not Evaluated"
"Arachnothryx aspera","Not Threatened"
"Arachnothryx brenesii","Not Threatened"
"Arachnothryx calycosa","Vulnerable"
"Arachnothryx chaconii","Threatened"
"Arachnothryx discolor","Not Threatened"
"Arachnothryx monteverdensis","Not Threatened"
"Arachnothryx povedae","Threatened"
"Arachnothryx tayloriae","Threatened"
"Arachnothryx torresii","Not Threatened"
"Aralia castanopsiscola","Not Evaluated"
"Araucaria araucana","Threatened"
"Araucaria nemorosa","Threatened"
"Archidendron whitei","Not Evaluated"
"Ardisia auriculata","Not Threatened"
"Ardisia awarum","Not Evaluated"
"Ardisia blepharodes","Threatened"
"Ardisia brenesii","Vulnerable"
"Ardisia brevis","Not Evaluated"
"Ardisia cabrerae","Not Threatened"
"Ardisia calycosa","Not Threatened"
"Ardisia capitellata","Vulnerable"
"Ardisia cardenasii","Not Threatened"
"Ardisia cartagoana","Threatened"
"Ardisia copeyana","Not Threatened"
"Ardisia costaricensis","Not Threatened"
"Ardisia crassiramea","Threatened"
"Ardisia dunlapiana","Threatened"
"Ardisia dwyeri","Not Evaluated"
"Ardisia fimbrillifera","Not Threatened"
"Ardisia furfuracea","Threatened"
"Ardisia generalensis","Threatened"
"Ardisia glandulosomarginata","Not Threatened"
"Ardisia jefeana","Vulnerable"
"Ardisia knappiae","Not Evaluated"
"Ardisia liesneri","Threatened"
"Ardisia obovatifolia","Not Evaluated"
"Ardisia opegrapha","Not Threatened"
"Ardisia pleurobotrya","Vulnerable"
"Ardisia ruedae","Threatened"
"Ardisia schippii","Not Evaluated"
"Ardisia subcrenulata","Not Threatened"
"Ardisia ursina","Not Evaluated"
"Arytera multijuga","DD"
"Aspidosperma pichonianum","Vulnerable"
"Aspidosperma thomasii","Threatened"
"Aspidostemon dolichocarpus","Threatened"
"Aspidostemon fungiformis","Threatened"
"Aspidostemon glandulosus","Threatened"
"Asteropeia matrambody","Vulnerable"
"Astrocaryum alatum","Not Threatened"
"Astrocaryum ciliatum","Not Evaluated"
"Astrocaryum confertum","Threatened"
"Astrotrichilia elegans","Threatened"
"Astrotrichilia masoalensis","Threatened"
"Astrotrichilia voamatata","Threatened"
"Attalea bassleriana","Not Evaluated"
"Attalea salazarii","Not Evaluated"
"Attalea septuagenata","Not Threatened"
"Austrobuxus rubiginosus","Not Evaluated"
"Axinaea costaricensis","Not Threatened"
"Axinaea glandulosa","Not Evaluated"
"Axinaea sodiroi","Threatened"
"Azara petiolaris","Not Threatened"
"Baccaurea seemannii","Not Evaluated"
"Backhousia bancroftii","Not Evaluated"
